OrderID,Date,Product,Category,Region,Country,City,Store,Quantity,UnitPrice,TotalRevenue,PaymentMethod,CustomerSegment
21,2024-03-21,Apple Watch Ultra,Wearables,North America,Canada,Vancouver,Apple Pacific Centre,1,781.31,781.31,Credit Card,Consumer
22,2024-05-05,iPhone 15,Smartphone,Middle East,Saudi Arabia,Jeddah,Apple Champs-Élysées,1,812.75,812.75,Apple Pay,Education
23,2024-05-02,iPhone 15 Pro,Smartphone,Middle East,Saudi Arabia,Jeddah,Apple Champs-Élysées,1,1030.61,1030.61,Credit Card,Consumer
24,2024-05-03,Apple Watch Ultra,Wearables,Middle East,UAE,Abu Dhabi,Apple Pacific Centre,2,760.38,1520.75,Apple Pay,Enterprise
25,2024-05-26,"MacBook Pro 16""",Computers,South America,Brazil,São Paulo,Apple Orchard Road,1,2608.14,2608.14,Credit Card,Enterprise
26,2024-05-30,AirPods Max,Accessories,Europe,France,Marseille,Apple Pacific Centre,1,575.47,575.47,PayPal,Education
27,2024-01-02,iPhone 15 Pro,Smartphone,South America,Brazil,São Paulo,Apple Eaton Centre,1,976.91,976.91,Apple Pay,Education
28,2024-07-26,iPhone 14,Smartphone,South America,Mexico,Guadalajara,Apple Orchard Road,3,723.53,2170.59,Credit Card,Education
29,2024-04-13,"MacBook Pro 16""",Computers,Asia,China,Hong Kong,Apple Sydney,1,2414.24,2414.24,Debit Card,Premium
30,2024-11-05,iPhone 14,Smartphone,Middle East,UAE,Abu Dhabi,Apple Fifth Avenue,1,698.57,698.57,PayPal,Education
31,2024-05-14,iPhone 14,Smartphone,North America,Canada,Toronto,Apple Pacific Centre,1,708.53,708.53,Bank Transfer,Enterprise
32,2024-09-20,Apple Watch Ultra,Wearables,Asia,Japan,Tokyo,Apple Fifth Avenue,1,798.4,798.4,Bank Transfer,Education
33,2024-11-12,iPhone 14,Smartphone,South America,Brazil,Rio de Janeiro,Apple Fifth Avenue,1,733.57,733.57,Bank Transfer,Premium
34,2024-01-06,iPhone 14,Smartphone,South America,Brazil,São Paulo,Apple Orchard Road,1,702.69,702.69,Apple Pay,Education
35,2024-04-25,AirPods Max,Accessories,Middle East,UAE,Abu Dhabi,Apple Dubai Mall,1,548.19,548.19,Debit Card,Consumer
36,2024-08-10,MacBook Air,Computers,Europe,France,Lyon,Apple Orchard Road,1,1117.81,1117.81,Debit Card,Enterprise
37,2024-06-03,Apple Watch Series 9,Wearables,Europe,Germany,Berlin,Apple Orchard Road,2,407.08,814.16,Bank Transfer,Premium
38,2024-09-03,Apple Watch Series 9,Wearables,Asia,Japan,Tokyo,Apple Orchard Road,4,399.45,1597.81,Credit Card,Education
39,2024-06-21,"MacBook Pro 16""",Computers,North America,Canada,Vancouver,Apple Pacific Centre,3,2380.95,7142.85,Debit Card,Premium
40,2024-10-14,iPad Pro,Tablets,Asia,China,Shanghai,Apple Champs-Élysées,1,1047.4,1047.4,PayPal,Premium
41,2024-11-21,AirPods Max,Accessories,Asia,Australia,Sydney,Apple Fifth Avenue,3,536.46,1609.37,PayPal,Consumer
42,2024-04-12,"MacBook Pro 16""",Computers,Middle East,Saudi Arabia,Jeddah,Apple Michigan Avenue,2,2555.5,5111.0,Bank Transfer,Premium
43,2024-05-03,Apple Watch Series 9,Wearables,Asia,China,Hong Kong,Apple Michigan Avenue,1,382.18,382.18,Bank Transfer,Premium
44,2024-04-26,AirPods 3rd Gen,Accessories,North America,Canada,Toronto,Apple Fifth Avenue,1,172.85,172.85,Debit Card,Education
45,2024-05-05,MacBook Air,Computers,North America,Canada,Toronto,Apple Ginza,2,1100.83,2201.67,Bank Transfer,Premium
46,2024-12-14,iPad Pro,Tablets,Asia,Australia,Melbourne,Apple Michigan Avenue,2,1045.63,2091.26,PayPal,Consumer
47,2024-02-16,iPhone 15 Pro,Smartphone,South America,Brazil,Rio de Janeiro,Apple IFC Mall,2,1029.66,2059.32,PayPal,Consumer
48,2024-09-10,AirPods 3rd Gen,Accessories,Middle East,UAE,Abu Dhabi,Apple IFC Mall,4,185.92,743.69,PayPal,Enterprise
49,2024-09-06,iPhone 14,Smartphone,Europe,UK,London,Apple Regent Street,2,730.03,1460.06,Debit Card,Consumer
50,2024-06-08,Apple Watch Ultra,Wearables,South America,Mexico,Guadalajara,Apple Union Square,1,769.32,769.32,Bank Transfer,Enterprise
51,2024-04-10,Apple Watch SE,Wearables,Asia,China,Beijing,Apple Orchard Road,4,241.43,965.7,Bank Transfer,Education
52,2024-04-04,AirPods 3rd Gen,Accessories,Europe,Spain,Valencia,Apple Union Square,2,171.32,342.65,Bank Transfer,Premium
53,2024-03-30,AirPods 3rd Gen,Accessories,Europe,France,Paris,Apple Dubai Mall,1,182.52,182.52,Bank Transfer,Enterprise
54,2024-08-04,"MacBook Pro 14""",Computers,Middle East,UAE,Abu Dhabi,Apple IFC Mall,1,2012.7,2012.7,Apple Pay,Consumer
55,2024-04-08,"MacBook Pro 16""",Computers,Europe,UK,Edinburgh,Apple Orchard Road,3,2514.46,7543.38,PayPal,Consumer
56,2024-07-01,AirPods Pro,Accessories,North America,USA,New York,Apple Fifth Avenue,1,248.91,248.91,Credit Card,Premium
57,2024-07-05,iPhone 14,Smartphone,North America,Canada,Toronto,Apple Sydney,3,688.86,2066.57,PayPal,Premium
58,2024-08-10,"MacBook Pro 16""",Computers,Asia,Japan,Kyoto,Apple Ginza,1,2524.6,2524.6,PayPal,Enterprise
59,2024-02-22,iPad Pro,Tablets,North America,USA,Miami,Apple Ginza,1,1050.38,1050.38,Debit Card,Consumer
60,2024-06-11,iPad Pro,Tablets,Middle East,UAE,Dubai,Apple Union Square,5,1119.66,5598.32,Debit Card,Education
61,2024-09-09,MacBook Air,Computers,Middle East,Saudi Arabia,Jeddah,Apple Sydney,3,1121.67,3365.0,Bank Transfer,Consumer
62,2024-06-13,MacBook Air,Computers,Asia,Singapore,Singapore,Apple Fifth Avenue,3,1070.06,3210.19,Credit Card,Consumer
63,2024-05-11,"MacBook Pro 16""",Computers,South America,Brazil,São Paulo,Apple Pacific Centre,1,2480.06,2480.06,Debit Card,Enterprise
64,2024-02-08,AirPods 3rd Gen,Accessories,Asia,Singapore,Singapore,Apple Union Square,1,171.06,171.06,PayPal,Education
65,2024-11-12,AirPods Max,Accessories,North America,USA,New York,Apple Michigan Avenue,1,574.37,574.37,PayPal,Consumer
66,2024-11-07,iPhone 15 Pro,Smartphone,Middle East,Saudi Arabia,Jeddah,Apple Pacific Centre,5,1004.59,5022.97,Bank Transfer,Education
67,2024-07-31,Apple Watch Ultra,Wearables,South America,Brazil,Rio de Janeiro,Apple Michigan Avenue,2,765.08,1530.15,Credit Card,Consumer
68,2024-01-14,AirPods Max,Accessories,North America,USA,Chicago,Apple Dubai Mall,1,536.97,536.97,PayPal,Education
69,2024-06-04,"MacBook Pro 14""",Computers,Europe,Italy,Rome,Apple Orchard Road,1,2015.72,2015.72,PayPal,Consumer
70,2024-02-10,"MacBook Pro 16""",Computers,Asia,China,Beijing,Apple Fifth Avenue,1,2524.69,2524.69,Bank Transfer,Consumer
71,2024-02-15,iPhone 14,Smartphone,Middle East,Saudi Arabia,Jeddah,Apple Michigan Avenue,2,706.93,1413.86,Debit Card,Premium
72,2024-11-07,AirPods 3rd Gen,Accessories,Europe,France,Paris,Apple Ginza,1,176.79,176.79,Credit Card,Premium
73,2024-08-11,AirPods Max,Accessories,North America,USA,Miami,Apple IFC Mall,1,574.8,574.8,Apple Pay,Consumer
74,2024-04-07,iPad Mini,Tablets,Asia,China,Beijing,Apple Dubai Mall,3,514.61,1543.84,Bank Transfer,Premium
75,2024-09-15,"MacBook Pro 14""",Computers,Middle East,UAE,Dubai,Apple IFC Mall,3,1948.49,5845.48,Credit Card,Premium
76,2024-01-01,iPhone 14,Smartphone,Middle East,UAE,Abu Dhabi,Apple Fifth Avenue,2,707.26,1414.51,PayPal,Enterprise
77,2024-03-12,iPad Pro,Tablets,Europe,Germany,Munich,Apple Champs-Élysées,2,1101.22,2202.43,PayPal,Consumer
78,2024-02-23,Apple Watch SE,Wearables,Middle East,Saudi Arabia,Jeddah,Apple Eaton Centre,1,239.89,239.89,Bank Transfer,Consumer
79,2024-03-06,Apple Watch Ultra,Wearables,Asia,Australia,Melbourne,Apple Champs-Élysées,2,809.92,1619.84,Apple Pay,Enterprise
80,2024-11-03,iPad Mini,Tablets,North America,Canada,Montreal,Apple Pacific Centre,1,500.18,500.18,Credit Card,Consumer
81,2024-10-11,"MacBook Pro 16""",Computers,Europe,UK,Manchester,Apple Fifth Avenue,1,2488.79,2488.79,Debit Card,Premium
82,2024-02-22,iPhone 15,Smartphone,Middle East,Saudi Arabia,Riyadh,Apple Eaton Centre,1,765.11,765.11,Credit Card,Enterprise
83,2024-07-01,AirPods Max,Accessories,Asia,Australia,Melbourne,Apple Regent Street,1,570.78,570.78,Apple Pay,Enterprise
84,2024-04-02,iPhone 15,Smartphone,Middle East,Saudi Arabia,Riyadh,Apple Michigan Avenue,3,786.62,2359.87,Debit Card,Consumer
85,2024-01-22,"MacBook Pro 14""",Computers,North America,USA,New York,Apple Pacific Centre,1,1971.87,1971.87,Debit Card,Consumer
86,2024-03-13,Apple Watch Series 9,Wearables,North America,USA,New York,Apple Champs-Élysées,1,413.91,413.91,Bank Transfer,Consumer
87,2024-01-26,"MacBook Pro 16""",Computers,North America,Canada,Toronto,Apple Michigan Avenue,1,2426.37,2426.37,Debit Card,Education
88,2024-03-18,iPad Air,Tablets,Europe,Spain,Barcelona,Apple Eaton Centre,1,611.78,611.78,Apple Pay,Enterprise
89,2024-09-30,Apple Watch Series 9,Wearables,Asia,South Korea,Seoul,Apple Sydney,2,386.32,772.65,Credit Card,Consumer
90,2024-08-18,MacBook Air,Computers,Europe,Italy,Milan,Apple Fifth Avenue,1,1096.14,1096.14,Debit Card,Enterprise
91,2024-08-20,AirPods Pro,Accessories,Europe,Italy,Florence,Apple Champs-Élysées,1,255.11,255.11,Credit Card,Education
92,2024-03-23,Apple Watch Series 9,Wearables,North America,USA,San Francisco,Apple IFC Mall,2,388.8,777.6,Apple Pay,Consumer
93,2024-08-16,iPad Mini,Tablets,North America,USA,Miami,Apple Champs-Élysées,1,498.39,498.39,Apple Pay,Premium
94,2024-11-13,AirPods 3rd Gen,Accessories,North America,USA,Chicago,Apple Michigan Avenue,1,182.53,182.53,Debit Card,Education
95,2024-08-07,Apple Watch Ultra,Wearables,South America,Brazil,Rio de Janeiro,Apple Champs-Élysées,1,772.7,772.7,Apple Pay,Premium
96,2024-07-12,AirPods Max,Accessories,Asia,Japan,Kyoto,Apple Pacific Centre,1,574.69,574.69,PayPal,Enterprise
97,2024-07-30,iPhone 15 Pro,Smartphone,South America,Brazil,Rio de Janeiro,Apple Fifth Avenue,2,977.88,1955.77,Bank Transfer,Premium
98,2024-05-18,AirPods Max,Accessories,South America,Brazil,São Paulo,Apple Michigan Avenue,1,540.03,540.03,Debit Card,Consumer
99,2024-05-17,Apple Watch SE,Wearables,Europe,Spain,Barcelona,Apple Regent Street,1,253.52,253.52,Credit Card,Consumer
100,2024-02-07,iPad Pro,Tablets,Asia,China,Beijing,Apple Pacific Centre,5,1057.71,5288.55,Apple Pay,Consumer
101,2024-03-16,iPhone 14,Smartphone,Asia,China,Shanghai,Apple Pacific Centre,3,673.82,2021.46,Credit Card,Consumer
102,2024-09-26,Apple Watch SE,Wearables,Asia,Singapore,Singapore,Apple Ginza,3,253.11,759.34,Debit Card,Premium
103,2024-05-11,iPad Mini,Tablets,Middle East,Saudi Arabia,Riyadh,Apple Union Square,3,495.96,1487.89,Apple Pay,Consumer
104,2024-12-18,iPad Pro,Tablets,North America,USA,New York,Apple Fifth Avenue,1,1102.5,1102.5,Bank Transfer,Education
105,2024-04-13,iPhone 14,Smartphone,Asia,South Korea,Seoul,Apple Michigan Avenue,1,673.79,673.79,Bank Transfer,Consumer
106,2024-08-18,Apple Watch Ultra,Wearables,South America,Brazil,Rio de Janeiro,Apple Sydney,1,778.9,778.9,Credit Card,Premium
107,2024-07-14,MacBook Air,Computers,Europe,Germany,Berlin,Apple Eaton Centre,2,1055.36,2110.72,Bank Transfer,Enterprise
108,2024-10-29,"MacBook Pro 16""",Computers,Middle East,Saudi Arabia,Jeddah,Apple Orchard Road,1,2508.96,2508.96,Bank Transfer,Enterprise
109,2024-11-19,Apple Watch SE,Wearables,Middle East,Saudi Arabia,Riyadh,Apple Michigan Avenue,2,250.06,500.13,Apple Pay,Enterprise
110,2024-03-09,"MacBook Pro 16""",Computers,Asia,Japan,Osaka,Apple Champs-Élysées,1,2489.51,2489.51,Apple Pay,Education
111,2024-08-05,AirPods Pro,Accessories,Europe,UK,London,Apple Orchard Road,3,259.76,779.28,PayPal,Education
112,2024-11-19,"MacBook Pro 14""",Computers,Middle East,Saudi Arabia,Riyadh,Apple IFC Mall,2,1973.9,3947.8,Credit Card,Premium
113,2024-02-20,AirPods Pro,Accessories,North America,Canada,Montreal,Apple Dubai Mall,1,242.42,242.42,Debit Card,Premium
114,2024-06-30,iPad Pro,Tablets,North America,USA,Chicago,Apple Orchard Road,2,1085.74,2171.47,Bank Transfer,Consumer
115,2024-07-20,"MacBook Pro 16""",Computers,North America,USA,Los Angeles,Apple Sydney,1,2477.63,2477.63,Debit Card,Enterprise
116,2024-10-20,iPhone 15,Smartphone,Europe,France,Lyon,Apple Eaton Centre,1,777.0,777.0,PayPal,Enterprise
117,2024-06-27,MacBook Air,Computers,North America,USA,San Francisco,Apple Champs-Élysées,1,1078.28,1078.28,Bank Transfer,Enterprise
118,2024-05-29,Apple Watch Series 9,Wearables,South America,Mexico,Mexico City,Apple Fifth Avenue,1,417.4,417.4,Credit Card,Education
119,2024-04-27,MacBook Air,Computers,South America,Brazil,São Paulo,Apple Orchard Road,1,1109.48,1109.48,Bank Transfer,Premium
120,2024-08-02,iPhone 14,Smartphone,Asia,South Korea,Busan,Apple Fifth Avenue,1,697.05,697.05,Apple Pay,Premium
121,2024-09-13,AirPods 3rd Gen,Accessories,Asia,Japan,Osaka,Apple Champs-Élysées,1,177.22,177.22,Apple Pay,Enterprise
122,2024-05-11,iPhone 15 Pro,Smartphone,Middle East,UAE,Dubai,Apple Michigan Avenue,1,976.1,976.1,Debit Card,Education
123,2024-03-27,iPad Pro,Tablets,South America,Mexico,Guadalajara,Apple Dubai Mall,2,1047.03,2094.06,Apple Pay,Education
124,2024-09-11,AirPods Pro,Accessories,North America,USA,Miami,Apple Michigan Avenue,3,250.41,751.24,Debit Card,Enterprise
125,2024-04-05,iPad Air,Tablets,Asia,Australia,Melbourne,Apple Ginza,1,593.39,593.39,Debit Card,Enterprise
126,2024-11-25,iPad Pro,Tablets,North America,USA,Miami,Apple Michigan Avenue,1,1140.37,1140.37,Bank Transfer,Education
127,2024-03-22,iPhone 15,Smartphone,North America,USA,Miami,Apple Regent Street,1,824.98,824.98,Apple Pay,Enterprise
128,2024-04-28,Apple Watch SE,Wearables,South America,Brazil,São Paulo,Apple Champs-Élysées,2,245.58,491.17,Bank Transfer,Education
129,2024-12-20,"MacBook Pro 16""",Computers,Europe,Italy,Milan,Apple IFC Mall,1,2620.29,2620.29,Credit Card,Premium
130,2024-04-24,iPhone 15 Pro,Smartphone,North America,Canada,Vancouver,Apple Sydney,1,962.97,962.97,Apple Pay,Premium
131,2024-01-04,Apple Watch Series 9,Wearables,Europe,Spain,Madrid,Apple Union Square,1,379.78,379.78,Debit Card,Education
132,2024-12-06,Apple Watch Series 9,Wearables,South America,Brazil,Rio de Janeiro,Apple Union Square,1,405.04,405.04,Debit Card,Education
133,2024-03-27,"MacBook Pro 14""",Computers,Europe,Spain,Valencia,Apple Sydney,1,2045.41,2045.41,Debit Card,Education
134,2024-08-24,iPad Mini,Tablets,Middle East,UAE,Abu Dhabi,Apple Fifth Avenue,1,493.17,493.17,Debit Card,Premium
135,2024-03-04,iPhone 15,Smartphone,South America,Mexico,Mexico City,Apple Fifth Avenue,1,807.24,807.24,Debit Card,Consumer
136,2024-05-28,Apple Watch Ultra,Wearables,Asia,Australia,Sydney,Apple Eaton Centre,1,804.31,804.31,Debit Card,Enterprise
137,2024-04-20,iPad Air,Tablets,Middle East,Saudi Arabia,Riyadh,Apple IFC Mall,1,584.76,584.76,Apple Pay,Education
138,2024-12-02,AirPods 3rd Gen,Accessories,Asia,Singapore,Singapore,Apple Eaton Centre,1,183.85,183.85,Bank Transfer,Consumer
139,2024-07-19,iPad Air,Tablets,North America,USA,New York,Apple Eaton Centre,1,596.58,596.58,Apple Pay,Enterprise
140,2024-08-16,Apple Watch SE,Wearables,South America,Brazil,Rio de Janeiro,Apple Champs-Élysées,1,245.54,245.54,PayPal,Enterprise
141,2024-10-31,AirPods Pro,Accessories,North America,Canada,Toronto,Apple Dubai Mall,1,238.71,238.71,Apple Pay,Education
142,2024-05-28,iPhone 15 Pro,Smartphone,Middle East,Saudi Arabia,Jeddah,Apple Champs-Élysées,5,1039.3,5196.48,PayPal,Enterprise
143,2024-02-28,Apple Watch Series 9,Wearables,North America,USA,Los Angeles,Apple IFC Mall,1,418.92,418.92,Debit Card,Consumer
144,2024-03-26,Apple Watch Series 9,Wearables,Middle East,UAE,Dubai,Apple Michigan Avenue,4,417.8,1671.18,Bank Transfer,Premium
145,2024-08-10,AirPods 3rd Gen,Accessories,South America,Brazil,São Paulo,Apple Union Square,1,181.59,181.59,Apple Pay,Education
146,2024-07-06,AirPods Pro,Accessories,Europe,France,Paris,Apple Eaton Centre,1,254.6,254.6,PayPal,Enterprise
147,2024-01-15,iPad Air,Tablets,North America,Canada,Toronto,Apple Champs-Élysées,1,606.54,606.54,Bank Transfer,Premium
148,2024-04-17,AirPods 3rd Gen,Accessories,Europe,France,Lyon,Apple Union Square,1,185.71,185.71,Bank Transfer,Premium
149,2024-04-05,iPhone 14,Smartphone,Asia,Australia,Sydney,Apple Fifth Avenue,1,697.59,697.59,Credit Card,Education
150,2024-08-23,AirPods Max,Accessories,North America,Canada,Vancouver,Apple Sydney,1,550.24,550.24,Credit Card,Premium
151,2024-06-25,iPhone 14,Smartphone,Middle East,Saudi Arabia,Jeddah,Apple Union Square,1,680.38,680.38,Credit Card,Education
152,2024-07-11,"MacBook Pro 14""",Computers,North America,USA,New York,Apple Sydney,2,1942.68,3885.36,Debit Card,Consumer
153,2024-03-01,"MacBook Pro 14""",Computers,Asia,Australia,Melbourne,Apple Dubai Mall,3,2087.9,6263.71,Apple Pay,Premium
154,2024-11-28,iPhone 15,Smartphone,North America,USA,San Francisco,Apple Regent Street,1,834.37,834.37,Bank Transfer,Enterprise
155,2024-11-25,Apple Watch Ultra,Wearables,Europe,UK,Manchester,Apple Sydney,1,821.34,821.34,Bank Transfer,Consumer
156,2024-02-23,AirPods Max,Accessories,North America,USA,Chicago,Apple Regent Street,5,531.1,2655.48,Debit Card,Enterprise
157,2024-06-26,iPhone 15,Smartphone,North America,Canada,Montreal,Apple Michigan Avenue,1,776.93,776.93,Credit Card,Consumer
158,2024-03-08,AirPods 3rd Gen,Accessories,Middle East,Saudi Arabia,Riyadh,Apple Sydney,1,174.94,174.94,Bank Transfer,Consumer
159,2024-07-13,iPad Mini,Tablets,Europe,Italy,Rome,Apple Sydney,1,520.54,520.54,Apple Pay,Enterprise
160,2024-08-13,iPad Air,Tablets,South America,Brazil,Rio de Janeiro,Apple Orchard Road,2,571.97,1143.94,Debit Card,Premium
161,2024-02-06,Apple Watch SE,Wearables,Middle East,Saudi Arabia,Riyadh,Apple Fifth Avenue,1,258.53,258.53,Bank Transfer,Enterprise
162,2024-07-04,iPhone 14,Smartphone,Europe,France,Paris,Apple Fifth Avenue,3,719.79,2159.37,PayPal,Consumer
163,2024-02-28,Apple Watch Ultra,Wearables,North America,USA,Chicago,Apple Sydney,4,767.51,3070.02,Apple Pay,Premium
164,2024-07-06,iPad Pro,Tablets,Middle East,UAE,Dubai,Apple IFC Mall,1,1140.66,1140.66,Debit Card,Premium
165,2024-06-08,Apple Watch Ultra,Wearables,Middle East,Saudi Arabia,Riyadh,Apple Union Square,3,825.54,2476.61,Bank Transfer,Education
166,2024-10-21,iPhone 15,Smartphone,Middle East,Saudi Arabia,Riyadh,Apple Fifth Avenue,1,768.31,768.31,Debit Card,Education
167,2024-12-09,AirPods Pro,Accessories,Asia,South Korea,Busan,Apple Dubai Mall,1,260.53,260.53,PayPal,Education
168,2024-11-30,AirPods 3rd Gen,Accessories,Middle East,UAE,Abu Dhabi,Apple Regent Street,1,183.85,183.85,PayPal,Enterprise
169,2024-07-10,iPhone 15 Pro,Smartphone,South America,Mexico,Mexico City,Apple IFC Mall,1,954.84,954.84,Apple Pay,Premium
170,2024-11-01,AirPods 3rd Gen,Accessories,Middle East,Saudi Arabia,Jeddah,Apple Eaton Centre,1,183.62,183.62,Bank Transfer,Enterprise
171,2024-02-02,MacBook Air,Computers,Asia,South Korea,Busan,Apple Dubai Mall,1,1074.12,1074.12,Bank Transfer,Education
172,2024-04-08,AirPods Pro,Accessories,North America,USA,Miami,Apple Eaton Centre,1,238.6,238.6,PayPal,Premium
173,2024-01-27,iPhone 14,Smartphone,North America,Canada,Toronto,Apple Ginza,4,723.98,2895.92,PayPal,Premium
174,2024-05-26,iPad Mini,Tablets,Middle East,UAE,Dubai,Apple Fifth Avenue,1,510.2,510.2,Debit Card,Consumer
175,2024-06-11,iPhone 15 Pro,Smartphone,North America,Canada,Vancouver,Apple Pacific Centre,1,1045.77,1045.77,Credit Card,Consumer
176,2024-04-02,"MacBook Pro 14""",Computers,Asia,Japan,Kyoto,Apple Michigan Avenue,2,1957.85,3915.71,PayPal,Premium
177,2024-02-15,AirPods Max,Accessories,North America,Canada,Vancouver,Apple Dubai Mall,1,559.19,559.19,PayPal,Consumer
178,2024-06-14,iPad Mini,Tablets,South America,Brazil,Rio de Janeiro,Apple Champs-Élysées,1,503.5,503.5,Apple Pay,Education
179,2024-07-23,iPhone 15 Pro,Smartphone,Middle East,Saudi Arabia,Jeddah,Apple Union Square,1,1008.99,1008.99,Apple Pay,Consumer
180,2024-08-04,iPhone 15 Pro,Smartphone,South America,Mexico,Mexico City,Apple Orchard Road,2,1023.89,2047.78,Credit Card,Consumer
181,2024-03-16,iPad Mini,Tablets,South America,Mexico,Mexico City,Apple IFC Mall,2,521.02,1042.04,Credit Card,Premium
182,2024-08-12,iPhone 15 Pro,Smartphone,North America,USA,New York,Apple Regent Street,1,981.23,981.23,Debit Card,Premium
183,2024-05-01,iPhone 15,Smartphone,Europe,Germany,Hamburg,Apple Pacific Centre,1,809.9,809.9,Apple Pay,Enterprise
184,2024-01-09,MacBook Air,Computers,North America,USA,New York,Apple Union Square,4,1148.16,4592.66,PayPal,Premium
185,2024-03-24,AirPods 3rd Gen,Accessories,Asia,South Korea,Busan,Apple Regent Street,1,184.08,184.08,Apple Pay,Enterprise
186,2024-10-23,Apple Watch SE,Wearables,Europe,France,Lyon,Apple Champs-Élysées,1,252.74,252.74,Credit Card,Consumer
187,2024-08-30,Apple Watch Series 9,Wearables,Asia,Australia,Sydney,Apple Orchard Road,3,396.35,1189.06,Apple Pay,Education
188,2024-03-22,MacBook Air,Computers,Europe,France,Lyon,Apple Ginza,5,1151.18,5755.9,Apple Pay,Education
189,2024-07-20,iPhone 14,Smartphone,Asia,Singapore,Singapore,Apple Champs-Élysées,1,682.06,682.06,PayPal,Consumer
190,2024-12-15,"MacBook Pro 14""",Computers,Europe,Spain,Madrid,Apple Regent Street,2,2052.52,4105.04,PayPal,Education
191,2024-02-19,iPhone 15 Pro,Smartphone,Asia,China,Shanghai,Apple Ginza,1,1009.61,1009.61,Debit Card,Education
192,2024-09-18,iPad Pro,Tablets,Europe,France,Marseille,Apple IFC Mall,4,1067.2,4268.81,Bank Transfer,Premium
193,2024-02-09,"MacBook Pro 14""",Computers,North America,USA,Los Angeles,Apple Orchard Road,1,2019.36,2019.36,Debit Card,Education
194,2024-01-14,AirPods 3rd Gen,Accessories,Europe,Spain,Madrid,Apple Champs-Élysées,1,174.48,174.48,PayPal,Consumer
195,2024-04-20,AirPods 3rd Gen,Accessories,North America,Canada,Vancouver,Apple Dubai Mall,1,177.05,177.05,Credit Card,Education
196,2024-03-06,iPhone 14,Smartphone,Middle East,UAE,Dubai,Apple Fifth Avenue,2,673.2,1346.4,Bank Transfer,Enterprise
197,2024-10-29,AirPods Max,Accessories,Asia,Japan,Kyoto,Apple Champs-Élysées,1,550.09,550.09,Debit Card,Education
198,2024-12-15,iPad Mini,Tablets,North America,USA,San Francisco,Apple Orchard Road,2,509.32,1018.64,PayPal,Education
199,2024-04-30,Apple Watch Ultra,Wearables,Middle East,UAE,Dubai,Apple Pacific Centre,1,826.5,826.5,PayPal,Education
200,2024-06-04,AirPods Max,Accessories,South America,Brazil,São Paulo,Apple Regent Street,1,524.68,524.68,Bank Transfer,Education
